method,n,cost_mean,cost_std,efficiency_mean,efficiency_std,robustness_mean,robustness_std,algebraic_connectivity_mean,algebraic_connectivity_std,network_entropy_mean,network_entropy_std,cyclomatic_number_mean,cyclomatic_number_std,betweenness_gini_mean,betweenness_gini_std,num_edges_mean,num_edges_std,steiner_ratio_mean,steiner_ratio_std
MST,20,3.266626697107801,0.18975778799618753,0.9614361110341113,0.08233973708882296,0.8324561403508772,0.03269235991856873,0.03757522664810264,0.007279105297120498,2.776881996703141,0.04768863732043469,0.0,0.0,0.49487486512154216,0.11173279449347409,19.0,0.0,1.0,0.0
MST,30,3.6327840324208083,0.15916499057178962,0.8456488233364962,0.12823015318898612,0.8670498084291188,0.03965656058428747,0.027809721903365878,0.01422770777322806,3.249451212735977,0.0071500764567761915,0.0,0.0,0.5324572316991699,0.0927681872215715,29.0,0.0,1.0,0.0
Physarum,20,10.478086244733257,1.152575511056905,1.2372995913454172,0.1698918377980965,0.8947368421052632,0.018421052631578953,0.059408102443288334,0.011734493116397184,2.8724729725039286,0.06408396209698362,6.666666666666667,1.5275252316519465,0.5355869493254218,0.057596088760440686,25.666666666666668,1.5275252316519465,3.2159530823700595,0.40788259153471834
Physarum,30,8.176498985214891,1.6495255112798028,1.2659421526033725,0.09418578100843464,0.8961685823754788,0.009775747756454407,0.028836961190260208,0.00639742053538899,3.0836369003643163,0.022549742830878565,3.6666666666666665,1.5275252316519465,0.5776941961523259,0.05860386573081825,32.666666666666664,1.5275252316519456,2.2533229420134346,0.4689941145299946
RGG,20,6.837550448585181,0.9118132114748672,0.7889649623883086,0.15392937688142144,0.9482456140350878,0.03215842592951455,0.1282427301215441,0.053948322779836896,3.4515889982837393,0.13029758222299243,16.333333333333332,5.131601439446884,0.6718097902875414,0.0674124457834942,35.333333333333336,5.131601439446885,2.0872068757047035,0.16497985848154734
RGG,30,18.579863055497466,1.8125321955221971,0.5626320797325646,0.044689640096847214,1.0,0.0,0.41100442712149593,0.12698124432891222,4.4816978230402995,0.11698148781913656,66.66666666666667,11.060440015358038,0.6377298486439312,0.07645992332095063,95.66666666666667,11.060440015358038,5.134786001215217,0.7051729546418707
kNN,20,8.356677147612173,0.8607954429959099,0.7756505856001766,0.13467018823384952,0.9789473684210526,0.014652011481131653,0.1540874444711736,0.05736485967456924,3.4730705020982833,0.037707936319741536,18.333333333333332,2.5166114784235827,0.6118018140301257,0.1018515787072711,37.333333333333336,2.516611478423584,2.554417150543822,0.13477591080145665
kNN,30,8.920959697828282,0.07134952252886027,0.7781122413389369,0.14463325327781004,0.9685823754789272,0.02780880814042001,0.08990825990339767,0.06915797905893911,3.93774513468878,0.035436873570154036,27.333333333333332,2.081665999466133,0.5846195228483207,0.108628947712094,56.333333333333336,2.0816659994661326,2.4587927764475297,0.107937208696324
