graph,n,trial,demand,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
Grid,20,0,Fixed,9.161645169978325,1.1790892017281547,0.9315789473684211,0.11336451838767515,3.000525434553582,5,0.5475999999999999,24,2.1668658329642407
Grid,20,0,Uniform,8.369026452986962,0.6744216523477958,1.0,0.53753503925972,3.454909804522744,14,0.41450704225352064,33,1.9793996754618104
Grid,20,1,Fixed,6.242458053735294,1.1284283663578487,0.8894736842105264,0.0655956955240416,2.758107594232576,1,0.6289022298456259,20,1.4887665507043015
Grid,20,1,Uniform,7.274371437554642,0.7420048184180638,1.0,0.36558186820969535,3.3383626554815997,10,0.4223514211886301,29,1.7348680248079318
Grid,20,2,Fixed,9.654716183908294,1.1645586580996725,0.9026315789473683,0.07803889383626755,2.994787763675313,6,0.5132404181184667,25,2.340486690765584
Grid,20,2,Uniform,7.254052030769719,0.6922187046161464,0.9947368421052631,0.3032204611621197,3.4249437595813035,12,0.44335106382978706,31,1.7585200754461507
Grid,20,3,Fixed,9.797260448200419,1.0822383279724266,0.9105263157894734,0.0825966124979374,3.010217361034193,6,0.6537698412698407,25,2.2672611947754087
Grid,20,3,Uniform,8.523540500366353,0.7040561756540713,1.0,0.5286053263460044,3.424382296884349,13,0.4146376811594201,32,1.9724996309684588
Grid,20,4,Fixed,7.7538534748978565,1.202688935984996,0.8894736842105262,0.06563097623278324,2.858806831856243,3,0.5477124183006539,22,1.8363217938336989
Grid,20,4,Uniform,8.025724407267372,0.7292014992944011,1.0,0.36941132412715383,3.403632780449483,12,0.40220994475138094,31,1.900708168922713
Grid,20,5,Fixed,7.669907087287655,1.0499443689823975,0.9105263157894739,0.08546724809907628,2.863763682708945,3,0.6049132947976874,22,1.7942127712059468
Grid,20,5,Uniform,8.44830945421812,0.6826910628529157,1.0,0.5388183157141846,3.465307710956855,14,0.4165714285714288,33,1.9763035647435083
Grid,20,6,Fixed,9.663431662688549,0.9670649451888709,0.9105263157894736,0.09127246893066492,2.9922238097039453,6,0.5955078125,25,2.287922973270009
Grid,20,6,Uniform,7.733462824544786,0.7034592125525496,1.0,0.3239529101433912,3.4080882085237802,12,0.41748633879781405,31,1.830981775089503
