n,trial,method,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
20,0,MST,3.3390661478409167,1.0002194775775641,0.85,0.04150395859524693,2.8010204723636547,0,0.5339634941329858,19,1.0
20,0,kNN,8.315686142730787,0.9296883288744389,0.9815789473684211,0.10858089419671524,3.5055843272694256,18,0.6039961013645223,37,2.4904227033980195
20,0,RGG,6.945476697708539,0.9662726286475248,0.9131578947368423,0.06599205122236018,3.436699777996558,15,0.6448763250883394,34,2.080065620203294
20,0,Physarum,9.20320740310952,1.1335448932745866,0.9157894736842105,0.07286903715240275,2.799996130713659,5,0.5015397082658022,24,2.7562219481816594
20,1,MST,3.4094946949059515,0.8668665043837519,0.8526315789473683,0.042045856625745975,2.721950110517118,0,0.5818118948824345,19,1.0
20,1,kNN,9.23723578600373,0.7170800156238982,0.9631578947368421,0.13515627962090276,3.4818939970263267,21,0.7173316708229427,40,2.7092682677596986
20,1,RGG,7.6905973990407155,0.711069692424173,0.9552631578947368,0.15735281196964102,3.5886915941921385,22,0.7485250737463129,41,2.2556414035578536
20,1,Physarum,11.44634776739622,1.14499143999474,0.8868421052631579,0.05401955768950552,2.8957852667120476,8,0.602086811352254,27,3.3571977057180784
20,2,MST,3.051319248576534,1.017222351141018,0.7947368421052632,0.029175864723314432,2.80767540722865,0,0.36884920634920615,19,1.0
20,2,kNN,7.517109514102001,0.6801834123021929,0.9921052631578947,0.21852515959590463,3.4317331819990975,16,0.5140776699029119,35,2.4635604804737476
20,2,RGG,5.876577249006287,0.6895525660932279,0.9763157894736842,0.161383327172623,3.3293756226625213,12,0.622027972027972,31,1.9259136033529627
20,2,Physarum,10.784703563694029,1.4333624407669248,0.881578947368421,0.05133571248795876,2.92163752008608,7,0.5031343283582093,26,3.5344395932104398
20,3,MST,3.595590684478395,0.8723518430595316,0.8552631578947368,0.045933407093283675,2.7298905188677582,0,0.5142384105960269,19,1.0
20,3,kNN,9.012796739675464,0.8042001755536989,0.9736842105263157,0.11945587801956986,3.4415944587260836,18,0.6670431211498973,37,2.50662478868418
20,3,RGG,6.528952769866852,0.8169940878287791,0.9289473684210527,0.09831982054573518,3.3282583013695968,13,0.6767094017094017,32,1.8158220283669453
20,3,Physarum,9.48990563234519,1.2419454499894989,0.9052631578947368,0.06904627240555514,2.8608133326550256,5,0.5640597539543055,24,2.6393175600636734
20,4,MST,3.0980460000518097,0.82253599959529,0.8605263157894736,0.05695119190718989,2.7798823669068273,0,0.47811671087533125,19,1.0
20,4,kNN,7.60032340746939,0.7264743805354773,0.9710526315789474,0.176711065128956,3.4988736817940165,19,0.6861413043478257,38,2.453263575602908
20,4,RGG,7.107787121727458,0.7661823923426269,0.9263157894736841,0.10247585894553154,3.5598359272019544,20,0.6696832579185523,39,2.2942806922842953
20,4,Physarum,10.757126021604092,1.2644288434909614,0.8921052631578948,0.059910486567844215,2.9460845437732006,6,0.6168421052631576,25,3.472229276590534
20,5,MST,3.0050914320122892,0.7495712066223273,0.8710526315789474,0.05542063410720277,2.7589777653630874,0,0.5193069306930691,19,1.0
20,5,kNN,9.05969291448315,0.6061780544868156,1.0,0.32047710411437164,3.613006759367889,23,0.5453987730061349,42,3.0147811204588004
20,5,RGG,9.16915207324419,0.6167547596881489,0.9736842105263157,0.1302664060654865,3.7089098203152977,26,0.5769886363636363,45,3.0512056889744223
20,5,Physarum,12.86541801154799,1.0192083958572495,0.9315789473684208,0.09450452735630194,2.9891955251991997,9,0.6417960088691796,28,4.281206845987033
