n,trial,demand,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
20,0,Fixed,6.982390635262579,1.1404218436489866,0.8973684210526317,0.06424292350881299,2.7417611615554778,3,0.5093650793650795,22,2.0911207883010894
20,0,Uniform,7.417431034045132,0.6867154986648094,1.0,0.37525254595594315,3.241922164558944,11,0.4036764705882352,30,2.221408832778392
20,0,HubSpoke,6.166891696047559,0.7112687615701105,0.9921052631578947,0.2776950028956772,3.1374774990891545,8,0.4900510204081634,27,1.846891143511832
20,1,Fixed,12.02729594382368,1.047572169266454,0.8947368421052632,0.054781954810102826,2.949397992541944,9,0.605704697986577,28,3.527588989005728
20,1,Uniform,8.581094909404928,0.6166450068564846,0.9973684210526315,0.4229558961753768,3.331377928100542,16,0.48582089552238794,35,2.5168230712386053
20,1,HubSpoke,5.814883569897325,0.6411652509343483,0.968421052631579,0.1999515199365321,3.084848907183731,8,0.5107142857142855,27,1.7054971748702852
20,2,Fixed,9.771155823853398,1.0543784312390252,0.8710526315789474,0.04951410768862336,2.8497421916297903,6,0.5003477051460361,25,3.202272534547712
20,2,Uniform,6.672920729329015,0.6144647700473392,0.9973684210526315,0.29651145738717827,3.2644078539679824,11,0.3833333333333335,30,2.186896940542026
20,2,HubSpoke,5.00111415886164,0.6511475774612805,0.9815789473684211,0.22866020293514353,3.0262079825372448,5,0.4217647058823528,24,1.639000626104496
20,3,Fixed,9.355286617955867,1.1775050127107838,0.9052631578947368,0.07123411255154691,2.8499863040087243,5,0.5863636363636362,24,2.6018775324847687
20,3,Uniform,7.738880211314037,0.6614118826420163,1.0,0.2824675537604399,3.2479884648810127,12,0.47761904761904783,31,2.152325136651838
20,3,HubSpoke,6.324189354170126,0.7624097086644386,0.9736842105263157,0.18899205321686766,3.0318758162085944,6,0.4611856823266218,25,1.758873550727191
20,4,Fixed,10.132826048095442,1.2128122214619124,0.881578947368421,0.05619053406580032,2.8917101018111886,6,0.5673566878980891,25,3.27071516947327
20,4,Uniform,7.213272001241557,0.6371018394381182,1.0,0.4359964953770388,3.2018338882756874,11,0.4078282828282829,30,2.3283295345262554
20,4,HubSpoke,5.241611375762246,0.6742545722033568,0.9868421052631579,0.2045789671556488,2.9799768329813454,6,0.47177777777777785,25,1.691908827588289
20,5,Fixed,12.656142298266897,0.9820826581431953,0.9315789473684208,0.09604930781537578,2.977103454516536,9,0.6132286995515697,28,4.211566464648966
20,5,Uniform,6.799599614256814,0.5906282642394174,0.9973684210526315,0.3575969653100015,3.218796465068996,11,0.40270588235294125,30,2.2626930887435996
20,5,HubSpoke,4.641861815201138,0.6217015109010777,0.9710526315789473,0.14971093464132412,3.0028213860770894,5,0.5475206611570247,24,1.5446657515151956
20,6,Fixed,9.666313933850695,1.1055226792805135,0.881578947368421,0.05225993539209766,2.865312415501968,6,0.5529673590504451,25,3.1425838353364366
20,6,Uniform,7.065777130142415,0.6610065495644726,0.9973684210526315,0.37752111988695375,3.2463523747126306,12,0.39710526315789507,31,2.297131786245419
20,6,HubSpoke,5.8674632842727545,0.6623717846507762,0.9947368421052631,0.2518047922191379,3.0492919331806028,7,0.4456626506024095,26,1.907551875282432
20,7,Fixed,10.259270494097544,1.051670478858152,0.9210526315789472,0.08982925809524019,2.9678732972482798,7,0.5751893939393942,26,3.29358170718581
20,7,Uniform,6.5672069606136025,0.6380788790569603,1.0,0.26864096034204166,3.368843128242368,13,0.4558823529411764,32,2.108301240836221
