trial,lambda,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
0,0.0,50,12.129048455940117,1.4935609132148924,0.9028571428571429,0.01234103121112294,3.3479151585026323,5,0.6148960345415293,54,2.552830947420739
0,0.1,50,6.790364879665117,1.6449419311286313,0.8555102040816326,0.007272309742020562,3.6564553351418763,2,0.5634556233353378,51,1.4291849580828813
0,0.25,50,8.551021643345669,1.1205716404898043,0.977142857142857,0.026237796357533906,3.8017060229817248,7,0.5280500133014099,56,1.7997547592042649
0,0.5,50,10.420241254085095,0.798709453298201,0.9959183673469388,0.07603163025017319,3.96706422974401,16,0.4177656001414176,65,2.1931740523298027
0,0.75,50,7.923712925645361,0.7425286880998261,0.9951020408163265,0.0696954958292137,3.903950754508835,11,0.43837093935029614,60,1.6677235356544997
0,0.9,50,8.217382561622365,0.690600422528976,0.9963265306122449,0.07017922227259388,3.987628316903865,15,0.38782321211066617,64,1.729532913180131
0,1.0,50,9.05591947780392,0.6783475200501884,0.9963265306122449,0.08844860442959829,4.013673866038377,18,0.3658417477510554,67,1.9060218601869061
1,0.0,50,12.827540052232175,1.512865567478675,0.9008163265306122,0.01029467664219021,3.461747472998624,6,0.5357508087237814,55,2.5627707943880536
1,0.1,50,9.774182343311434,1.2480709133247896,0.9342857142857143,0.015985674779397465,3.7243711502404895,6,0.5445506546332783,55,1.9527507960579744
1,0.25,50,9.498640036994328,1.109636820409135,0.9653061224489795,0.02834401787571015,3.857838329501789,7,0.5494924901185771,56,1.8977011316349872
1,0.5,50,9.887888293182867,0.8537226017543824,0.9877551020408163,0.05187224537931802,4.0145283220144155,16,0.41283624184734724,65,1.97546772278688
1,0.75,50,9.981185656848998,0.6637684933177094,0.9975510204081632,0.11260353093993929,4.099842962265276,22,0.4092604147550012,71,1.9941072871790688
1,0.9,50,9.125889203875344,0.6386521447808116,0.9971428571428572,0.10933177846872981,4.061425073847937,19,0.3605488389944347,68,1.8232305047796913
1,1.0,50,8.394503243831087,0.6568964188433412,0.9967346938775511,0.10406740987936024,4.037423412976707,17,0.35858976744186033,66,1.6771093802153036
2,0.0,50,12.43705122912363,1.501306573349203,0.8979591836734693,0.009674166055859702,3.504364510273408,6,0.49536087414933405,55,2.54179257505182
2,0.1,50,8.469540156045605,1.5191631082451624,0.9,0.012001021805116687,3.6618352956658233,4,0.5937082601054482,53,1.730941996309273
2,0.25,50,7.872542478105849,1.1211713010760365,0.9485714285714286,0.014695860863929565,3.717053190616908,5,0.4949900223030872,54,1.6089320248815542
2,0.5,50,9.491367108375954,0.9497541157137779,0.986938775510204,0.047841021605202746,3.8598324076041752,11,0.4355118644067797,60,1.939775433799594
2,0.75,50,8.504413953020665,0.6696565088688871,0.9975510204081632,0.09231896228861514,3.9920397732130297,16,0.39555440593205726,65,1.7380692450905193
2,0.9,50,8.722050541711477,0.6389256774924111,1.0,0.0954031331304286,4.014236729610619,17,0.36940754039497303,66,1.7825482019592123
2,1.0,50,7.6754844504026805,0.6504155603583348,0.9918367346938776,0.05699870394124471,3.980311595903044,14,0.4189928772569156,63,1.5686587621569168
3,0.0,50,12.324494537375324,1.3228228978951135,0.8922448979591836,0.010248292263910256,3.4820138504371,6,0.5941482552137103,55,2.49497669453231
3,0.1,50,7.467539565553267,1.4270851392127697,0.8938775510204081,0.010069585057991945,3.7428439826428317,3,0.5941806981519504,52,1.5117323574651964
3,0.25,50,9.287488476602542,0.9844618548845739,0.9673469387755101,0.027305035009971057,3.874133517971101,9,0.5687622912439521,58,1.8801637040439267
3,0.5,50,10.41707570534861,0.7934865655675771,0.9951020408163267,0.09306060621661304,3.9933322290757136,16,0.4375460122699384,65,2.10883789442277
3,0.75,50,9.364258891817595,0.7142658024679618,0.9975510204081632,0.1066943727243147,4.0362258255037515,18,0.43773280869402287,67,1.895705144401603
3,0.9,50,9.868619907610919,0.6541421871115046,0.9987755102040816,0.12331360997638563,4.100692653685378,22,0.419038802442387,71,1.9978082348138588
3,1.0,50,8.869027684250977,0.7368520616290725,0.9914285714285714,0.05166057957754551,4.092485246907523,20,0.42220119172800574,69,1.795450296826577
4,0.0,50,10.946165931106458,1.3479522054089756,0.9106122448979592,0.014438981266655352,3.3874660749287786,4,0.5821713600958658,53,2.2208875853497165
4,0.1,50,7.666855396652931,1.515623556496306,0.9118367346938777,0.0150788425036184,3.672882971417282,2,0.6235219201567477,51,1.5555422854234797
4,0.25,50,9.046997032618028,1.2042314478267773,0.9583673469387756,0.029997984547612502,3.8245243401657376,6,0.5414115621862001,55,1.835561741060336
4,0.5,50,9.550735225619091,0.8670778769143318,0.9938775510204081,0.06299706239919935,3.9626043234565205,12,0.41742616033755264,61,1.9377661024909756
4,0.75,50,10.867082770618715,0.7119308577211353,0.9991836734693877,0.11752809302579262,4.160746908705566,25,0.36059075168058663,74,2.2048422585711105
4,0.9,50,9.525239120806908,0.6840499599225351,0.9991836734693877,0.11368454131213407,4.141545726207831,23,0.412324951644101,72,1.932593151248638
4,1.0,50,9.300630461002921,0.6930268935404617,0.9987755102040816,0.11066337721991548,4.090718743834191,20,0.3819778080591787,69,1.8870218902920364
5,0.0,50,11.852354789761796,1.2829912154393666,0.8983673469387756,0.011070617341254245,3.4825090500030416,5,0.5803838447748602,54,2.505689620791334
5,0.1,50,7.886090489849964,1.4684815130096442,0.9053061224489797,0.012390341955458068,3.6291750495985227,1,0.6299586630447622,50,1.6671872754017885
5,0.25,50,8.285127320748144,0.8866661744920753,0.9767346938775511,0.03975557421875489,3.8328541241136396,8,0.47768129620890365,57,1.7515470893991494
5,0.5,50,8.610239005083317,0.8499105434601747,0.9881632653061224,0.06660899822423984,3.873098283996507,10,0.3897311649518749,59,1.82027849235549
