variant,n,alpha_mean,alpha_std,cost_mean,cost_std,efficiency_mean,efficiency_std,robustness_mean,robustness_std,algebraic_connectivity_mean,algebraic_connectivity_std,network_entropy_mean,network_entropy_std,cyclomatic_number_mean,cyclomatic_number_std,betweenness_gini_mean,betweenness_gini_std,num_edges_mean,num_edges_std,steiner_ratio_mean,steiner_ratio_std
Adaptive,20,1.0,0.0,14.197483119496667,1.5982010022708535,0.58303743463514,0.04876964444102072,0.9964912280701754,0.005278260243985229,0.6498007323843649,0.2462662941272213,3.93713471578783,0.06228622946654888,37.6,3.409924662935612,0.5948615959430368,0.05201570303217473,56.6,3.409924662935612,4.599250332471732,0.44049760276965444
Adaptive,50,1.0,0.0,50.14912762767013,3.7361762268321366,0.5517856168656103,0.028272166839286236,0.9998095238095239,0.0004251677222548545,0.7354254616532515,0.22993067774734374,5.448269249434356,0.05129552394586118,206.5,12.102293883449503,0.5820323553764148,0.041926907759944336,255.5,12.102293883449502,10.44446389106979,0.8027276979320703
Adaptive,100,1.0,0.0,133.30613347830655,6.952348254962516,0.5336047398203121,0.017613457691359878,1.0,0.0,0.988075008822732,0.17254719418367437,6.586724955594307,0.023677568831980113,692.7666666666667,19.765318517341278,0.5624133490923541,0.02561117949664716,791.7666666666667,19.765318517341278,19.825296273442437,1.125110754092586
Uniform,20,0.0,0.0,9.025035340963107,1.903989844599092,1.0733688702033668,0.12314898911120642,0.8971929824561403,0.026791822706526972,0.06759558663880984,0.021187970755868132,2.8594291524103324,0.10818302568663508,5.6,2.061134605519243,0.5619008704218368,0.05954895427927635,24.6,2.0611346055192414,2.93176120682997,0.6376817537638639
Uniform,50,0.0,0.0,8.808564248488842,1.7470470548006574,1.4456923608178023,0.19277481122664578,0.9022176870748299,0.01257846542289365,0.012465679805791994,0.0026179407531242015,3.467241848121153,0.09443078954294669,1.6333333333333333,1.8096167118144553,0.5995898233173235,0.027931577762346244,50.63333333333333,1.8096167118144542,1.84004176526949,0.397766643119052
Uniform,100,0.0,0.0,7.620720823401623,0.6524031639327393,1.2586225964069653,0.1529792808210929,0.8931481481481481,0.01587620421657015,0.002858785953143889,0.0007216843503808713,4.401559861578069,0.04674050240309607,0.06666666666666667,0.2537081317024624,0.5951605261914535,0.02690316976848783,99.06666666666666,0.2537081317024631,1.131544661965057,0.07475105871311666
