trial,k_commodities,method,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
2,0,kNN,50,12.274378095108528,0.691043015065317,0.9910204081632653,0.06665368994680193,4.433248585071842,47,0.6288359895097841,96,2.5085466426694114
2,1,Physarum-k1,50,12.371754494687105,1.6163882448165385,0.8914285714285713,0.009250442120462849,3.4910672690808906,4,0.5452223987291502,53,2.528447711248635
2,1,Union-k1,50,10.213119242249,1.5862054786805668,0.890204081632653,0.009454511997214829,3.477533089765454,3,0.5071802714586122,52,2.0872817985406504
2,2,Physarum-k2,50,9.74111010595327,1.0581019225602952,0.8783673469387756,0.008874995048973912,3.7431546749733156,10,0.5861483253588518,59,1.9908160611330827
2,2,Union-k2,50,9.303331769510878,0.8221457507572096,0.9624489795918367,0.024395303545667723,3.7976065189669947,12,0.48210499619578995,61,1.9013461615091172
2,3,Physarum-k3,50,6.993275297993205,0.7880400617300334,0.9216326530612245,0.01703683822030286,3.8197194712375326,7,0.6254798884906414,56,1.4292338996005705
2,3,Union-k3,50,9.810716926133479,0.7797552429615199,0.9371428571428573,0.01701307925094921,3.9071048363653813,16,0.5963598216627328,65,2.0050417883933127
2,5,Physarum-k5,50,12.22682320124748,0.7813355661971187,0.9604081632653062,0.0312033762927459,4.057302066521815,23,0.6458680818802125,72,2.4988277250661506
2,5,Union-k5,50,15.15757839965277,0.7687415778007034,0.9693877551020408,0.035417521282392096,4.062710065157344,31,0.5634328358208953,80,3.0977938035492096
2,10,Physarum-k10,50,19.432807010818532,0.6297228648156529,0.9893877551020408,0.1543298757243619,4.464743082412434,56,0.628381171067738,105,3.9715334175715244
2,10,Union-k10,50,32.77802124563285,0.6515969608076203,0.9946938775510205,0.1697587031290983,4.5755189973303745,79,0.538994271164863,128,6.698929633090458
3,0,MST,50,4.9397233105961265,1.1408763479011588,0.8685714285714284,0.008852192040830476,3.7749098387738202,0,0.5124143820992395,49,1.0
3,0,kNN,50,12.161834578236823,0.8803277591135321,0.9812244897959184,0.025971464465466533,4.463414479492203,47,0.6391761037255861,96,2.4620477329466315
3,1,Physarum-k1,50,11.758699900157003,1.4227450089171116,0.8889795918367347,0.01026662819933734,3.482783847997204,5,0.6073717409587891,54,2.3804369517890995
3,1,Union-k1,50,11.641358634470135,1.3253976932259421,0.8926530612244897,0.010667184548511444,3.486380897447672,5,0.6169534984789222,54,2.3566823286434753
3,2,Physarum-k2,50,11.416294046379866,1.0271409579015987,0.9579591836734693,0.04218737707674155,3.6921899680163093,9,0.6516982562547389,58,2.311120143488795
3,2,Union-k2,50,11.733511378650544,0.8714979798536097,0.9906122448979592,0.03652493921889617,3.8284651883598118,16,0.523646936036976,65,2.375337775191004
