lambda,n_mean,n_std,cost_mean,cost_std,efficiency_mean,efficiency_std,robustness_mean,robustness_std,algebraic_connectivity_mean,algebraic_connectivity_std,network_entropy_mean,network_entropy_std,cyclomatic_number_mean,cyclomatic_number_std,betweenness_gini_mean,betweenness_gini_std,num_edges_mean,num_edges_std,steiner_ratio_mean,steiner_ratio_std
0.0,50.0,0.0,10.888116873671391,1.9781040891350468,1.414791385090678,0.15914563854425226,0.90621768707483,0.015926010303011624,0.013318434038868782,0.004173858010620485,3.4613497802751354,0.07586808497690727,3.7333333333333334,2.2884015402012388,0.5858879732284141,0.04432761262975422,52.733333333333334,2.2884015402012383,2.259413963834495,0.39588935694697824
0.1,50.0,0.0,7.910502313300152,0.7619166121628552,1.3632562967981445,0.1521258168632539,0.9018367346938775,0.023439536748404252,0.012811070376451645,0.003887118421527536,3.692774373368517,0.06501131317416925,3.033333333333333,1.542128697463422,0.5884319615478064,0.04272387142733472,52.03333333333333,1.5421286974634216,1.6428321183993204,0.15484478968336546
0.25,50.0,0.0,8.812973813265423,0.7055968674225175,1.0917936536244042,0.13303020917410016,0.9602585034013605,0.01810080534627785,0.02522330134335648,0.007864073954084701,3.8260649436180074,0.05662055204922951,7.233333333333333,1.7554512797005501,0.524548343282145,0.043879082056320094,56.233333333333334,1.7554512797005497,1.8294489611209683,0.13183335087900708
0.5,50.0,0.0,9.418672772705241,0.7803085776717257,0.8096030533915182,0.06462841163316038,0.9917414965986394,0.004623662741140897,0.06590278942672033,0.019229124689356655,3.9610232608027824,0.06590724262398555,13.966666666666667,2.9182343898362566,0.41983484067239163,0.028668120151253397,62.96666666666667,2.9182343898362566,1.9554891097037415,0.15383545832301193
0.75,50.0,0.0,8.996008631932938,0.8752559840067081,0.6896315402709882,0.0383740833206666,0.996,0.0031587104843222667,0.08791112194543972,0.02410688274830916,4.022711205011522,0.06696368504245283,17.5,3.511066249289032,0.41454807194765053,0.032035840725030934,66.5,3.511066249289032,1.8671253235861704,0.16667221804497073
0.9,50.0,0.0,8.642104706405403,0.6589197901875794,0.6568904585236628,0.03279923708546108,0.9974285714285714,0.0017812399962945451,0.09314122932184414,0.021065278945016513,4.038305316830563,0.05608871633916056,17.966666666666665,2.6971675223608496,0.39937003924764036,0.02070511199180367,66.96666666666667,2.6971675223608504,1.7936385066304577,0.11801432497046654
1.0,50.0,0.0,8.165838906413775,0.6650771495157459,0.6636490143759624,0.041496946197676646,0.9939455782312925,0.006906064664150161,0.0780082539486319,0.02341431153583579,4.02611289389902,0.060591030311372106,16.7,2.7686670513767644,0.39956906631631417,0.0301376267626654,65.7,2.76866705137677,1.69455269345749,0.12063117473934974
