trial,mu,n,iteration,n_surviving_edges,conductivity_entropy
0,0.5,20,25,188,5.127500902806014
0,0.5,20,50,127,4.677295067992504
0,0.5,20,100,109,4.538548848352397
0,1.0,20,25,147,4.926668403436912
0,1.0,20,50,12,2.204282182188263
0,1.0,20,100,12,2.273843398463499
1,0.5,20,25,190,5.137466459804106
1,0.5,20,50,139,4.7682792076979315
1,0.5,20,100,124,4.656662794136955
1,1.0,20,25,150,4.941595012536718
1,1.0,20,50,12,2.2554635063449346
1,1.0,20,100,14,2.437257637171287
