n,trial,variant,alpha,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
20,0,Uniform,0.0,9.20320740310952,1.1335448932745866,0.9157894736842105,0.07286903715240443,2.799996130713659,5,0.5015397082658022,24,2.7562219481816594
20,0,Adaptive,1.0,16.159008648405734,0.6545605679131199,1.0,0.6586984981884176,3.969486021721951,39,0.6218446601941743,58,4.839379614822652
20,1,Uniform,0.0,11.44634776739622,1.14499143999474,0.8868421052631579,0.05401955768950645,2.8957852667120476,8,0.602086811352254,27,3.3571977057180784
20,1,Adaptive,1.0,13.919449913491514,0.6014463137193408,0.9921052631578947,0.3706915170740451,3.9069712489071184,38,0.6169565217391302,57,4.0825550877929935
20,2,Uniform,0.0,10.784703563694029,1.4333624407669248,0.881578947368421,0.051335712487959706,2.92163752008608,7,0.5031343283582093,26,3.5344395932104398
20,2,Adaptive,1.0,13.272896794209135,0.6283816603562442,0.9921052631578947,0.3632846782146155,3.8038412635476937,31,0.6305343511450381,50,4.3498879379471855
20,3,Uniform,0.0,9.48990563234519,1.2419454499894989,0.9052631578947368,0.06904627240555512,2.8608133326550256,5,0.5640597539543055,24,2.6393175600636734
20,3,Adaptive,1.0,16.871448293642132,0.6535585963029535,0.9973684210526315,0.6751293228494838,3.9721567166127056,40,0.5880281690140845,59,4.692260541911388
20,4,Uniform,0.0,10.757126021604092,1.2644288434909614,0.8921052631578948,0.059910486567850564,2.9460845437732006,6,0.6168421052631576,25,3.472229276590534
20,4,Adaptive,1.0,14.339996439323794,0.5978048401630117,1.0,0.7746909190639277,3.8916097409058024,37,0.6504629629629628,56,4.628722891488371
20,5,Uniform,0.0,12.86541801154799,1.0192083958572495,0.9315789473684208,0.09450452735629744,2.9891955251991997,9,0.6417960088691796,28,4.281206845987033
20,5,Adaptive,1.0,16.71088321160671,0.5687417722640027,0.9947368421052631,0.7463635645484624,4.07364302328255,46,0.6815000000000002,65,5.560856829043853
20,6,Uniform,0.0,12.092983623080375,1.1180432315747668,0.9052631578947368,0.06422507992615611,3.0348938119511693,9,0.5929054054054055,28,3.931510513205688
20,6,Adaptive,1.0,17.08163049261775,0.6372640993426626,0.9921052631578947,0.34770051238326444,4.015493288336336,43,0.6504629629629628,62,5.553353246608891
20,7,Uniform,0.0,11.297880971801087,1.0485809127156114,0.9236842105263158,0.08986519890289882,3.0020174710191454,8,0.5741444866920151,27,3.627011698355646
20,7,Adaptive,1.0,15.480688339771586,0.5814508552272731,1.0,1.0551844422591816,3.9763493542048107,39,0.5424528301886793,58,4.969837958736989
20,8,Uniform,0.0,6.449761601070804,0.8682994690316338,0.9184210526315788,0.09451651266812836,2.775207450068309,4,0.5646435452793832,23,2.3265486079724305
20,8,Adaptive,1.0,14.156483447312915,0.4843879614167221,1.0,0.9511988589950551,4.038783992735813,43,0.5723350253807107,62,5.106506084296596
20,9,Uniform,0.0,8.23296967284273,0.9882371299703734,0.9263157894736841,0.0901564939140044,2.795967634730136,4,0.6424843423799582,23,2.494190507499302
20,9,Adaptive,1.0,14.41507325976894,0.5882507728816677,1.0,0.8854363530571618,3.927214722001028,36,0.5828638497652581,55,4.367068059052903
20,10,Uniform,0.0,10.137184406551428,0.9844130433735975,0.8657894736842104,0.0430896711507484,2.9662307436355357,8,0.5488811188811189,27,3.369357483348154
20,10,Adaptive,1.0,14.179875632501032,0.5263002912335003,1.0,1.052587056445741,4.002069910544272,40,0.5149289099526069,59,4.713051293062822
20,11,Uniform,0.0,8.760691540154237,0.8693953068071848,0.8894736842105262,0.05492374903394871,2.818098337328999,7,0.5370400000000002,26,3.3111226995093768
20,11,Adaptive,1.0,12.057726323951897,0.5329132977460154,0.9973684210526315,0.5904912064160706,3.9332952305486093,38,0.633116883116883,57,4.5572442714957155
20,12,Uniform,0.0,9.01476677577485,0.972031056718778,0.9078947368421051,0.07727903383386842,3.0156209204440363,9,0.5446619217081852,28,3.060805108352382
20,12,Adaptive,1.0,12.146559224309174,0.5725525644917887,0.9973684210526315,0.6099712341936938,3.8148455447586604,32,0.583333333333333,51,4.124150013794968
20,13,Uniform,0.0,5.569748787166614,1.0726201005703875,0.8289473684210525,0.035153019167943854,2.663961960606121,2,0.47806183115338907,21,1.87699932719041
20,13,Adaptive,1.0,14.512601698795166,0.6227573362888035,1.0,0.6348882504801475,3.9434827960459824,39,0.5908695652173912,58,4.89073110212539
20,14,Uniform,0.0,6.830257209277395,1.1176833557510775,0.881578947368421,0.05504658979858946,2.792153088469602,4,0.49947994056463596,23,2.1747022722234606
20,14,Adaptive,1.0,13.469142240952968,0.5606628658627644,0.9973684210526315,0.5510197235688472,3.9149435224334677,36,0.5745454545454547,55,4.288473089492963
20,15,Uniform,0.0,7.293860569033832,0.9681949737823872,0.9078947368421053,0.06547819790359345,2.769647143076235,4,0.5173986486486482,23,2.578423182797407
20,15,Adaptive,1.0,14.035126826364776,0.5645986747479792,0.9973684210526315,0.7479681046047575,3.979325360155767,39,0.6139639639639642,58,4.961500982927944
20,16,Uniform,0.0,9.494300756087288,1.161860098625549,0.8921052631578948,0.06259049162765887,2.8292457680972913,6,0.6365619546247818,25,2.772870519679923
20,16,Adaptive,1.0,16.122512443836833,0.6694195729936034,1.0,0.9584733390635425,3.895375159449295,36,0.604782608695652,55,4.708681619341451
20,17,Uniform,0.0,9.180257688172388,1.0113164818337583,0.9052631578947367,0.06480743898815383,2.794785312653204,5,0.5765060240963853,24,3.043814578303723
20,17,Adaptive,1.0,13.287654356671867,0.5401601656714936,0.9973684210526315,0.5925344849012016,3.9600971592370486,38,0.5440092165898618,57,4.405666748811128
20,18,Uniform,0.0,10.87941464045225,1.063359951535101,0.9394736842105263,0.12772378714687016,3.026359425209144,7,0.6241496598639458,26,3.661436022190348
20,18,Adaptive,1.0,11.697118483499201,0.5141917436948462,1.0,0.5480912061376758,3.876859743867361,33,0.5065400843881855,52,3.9366319224627118
20,19,Uniform,0.0,10.671136181406256,0.9605955471175275,0.9289473684210524,0.09464979065183754,2.995834798911418,7,0.6675704989154014,26,3.6017160818608587
20,19,Adaptive,1.0,11.475391848291954,0.48170998412327903,1.0,0.9583664094049372,3.882510084207283,33,0.5140552995391701,52,3.8731680172599456
20,20,Uniform,0.0,8.547474276066117,1.0645574584695892,0.9,0.053878780348039945,2.7546785560484035,4,0.5527113237639549,23,2.7696057043810347
20,20,Adaptive,1.0,14.622178605732309,0.5945976393040027,1.0,0.8984546183446307,3.947916206399979,38,0.6650234741784036,57,4.737969132040856
20,21,Uniform,0.0,9.042964873344193,1.1738602012132613,0.8947368421052632,0.05988043845870804,2.7908737870103044,5,0.5425445705024308,24,2.7582449849337443
20,21,Adaptive,1.0,16.436485895330485,0.6361255576905956,0.9973684210526315,0.8077446986696526,3.9533729020582706,39,0.6494652406417107,58,5.013383931675476
20,22,Uniform,0.0,9.169486117738124,1.1362173488460097,0.8842105263157896,0.04541610381005649,2.853306751011358,5,0.5299431009957323,24,2.932267156480649
20,22,Adaptive,1.0,13.34449159594845,0.6042848009324806,1.0,0.5187605236936648,3.893395654165244,35,0.5948132780082986,54,4.267372666723001
20,23,Uniform,0.0,5.22824093165495,0.9095085031852145,0.8842105263157893,0.06403342788009575,2.6046508290759625,2,0.5503086419753087,21,1.835406802580607
20,23,Adaptive,1.0,13.132940734377453,0.5571904793170751,0.9973684210526315,0.6689282463958314,3.9249579352158284,37,0.5893939393939396,56,4.610401294979026
20,24,Uniform,0.0,8.694066506036787,1.102409554359071,0.8473684210526315,0.0356356645117625,2.8355363688829645,5,0.47779126213592193,24,2.77916369383725
20,24,Adaptive,1.0,15.455315540209316,0.5570779439079745,0.9921052631578947,0.3583853606093398,4.024378212700167,42,0.586111111111111,61,4.940478865249507
20,25,Uniform,0.0,9.40519275147849,1.106042234483754,0.9236842105263158,0.0944962060568133,2.9199474142863076,5,0.6856818181818178,24,3.2371796630736513
20,25,Adaptive,1.0,13.748913563254353,0.6429329400849756,0.9736842105263157,0.1339720625844512,3.906770013571387,36,0.6087859424920128,55,4.732247871190934
20,26,Uniform,0.0,7.752526551326632,1.153396954864403,0.8999999999999998,0.06770850583759819,2.8087441977820293,4,0.44354330708661394,23,2.470746303390743
20,26,Adaptive,1.0,12.80383901501402,0.6071534770905781,0.9921052631578947,0.2620805163758403,3.8516767039866515,32,0.5967181467181466,51,4.080610070292838
20,27,Uniform,0.0,6.331503457442748,0.9729248527118205,0.9026315789473683,0.06929216247299488,2.771781454931283,3,0.5642857142857141,22,2.089791315490265
20,27,Adaptive,1.0,12.035940333994434,0.5497635314787753,0.9921052631578947,0.3215043347082011,3.952163679228888,38,0.5248953974895401,57,3.972611521545238
20,28,Uniform,0.0,6.790421260774462,1.181767767969355,0.8342105263157895,0.037088941914858696,2.8091963749476716,3,0.4985642946317108,22,1.8027271693070561
20,28,Adaptive,1.0,15.605157789487258,0.6000060888671267,1.0,0.891761673859765,3.984278127198434,38,0.5073529411764706,57,4.142871384274593
20,29,Uniform,0.0,9.337260680462133,0.9582691072168268,0.9105263157894736,0.07924671949939346,2.940622652994117,8,0.5777039848197343,27,3.4065818791835674
