n,trial,method,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
20,0,MST,3.3390661478409167,1.0002194775775641,0.85,0.041503958595248656,2.8010204723636547,0,0.5339634941329858,19,1.0
20,0,kNN,8.315686142730787,0.9296883288744389,0.9815789473684211,0.10858089419671582,3.5055843272694256,18,0.6039961013645223,37,2.4904227033980195
20,0,RGG,6.945476697708539,0.9662726286475248,0.9131578947368423,0.06599205122235863,3.436699777996558,15,0.6448763250883394,34,2.080065620203294
20,0,Physarum,9.20320740310952,1.1335448932745866,0.9157894736842105,0.07286903715240373,2.799996130713659,5,0.5015397082658022,24,2.7562219481816594
20,1,MST,3.4094946949059515,0.8668665043837519,0.8526315789473683,0.04204585662574617,2.721950110517118,0,0.5818118948824345,19,1.0
20,1,kNN,9.23723578600373,0.7170800156238982,0.9631578947368421,0.13515627962089985,3.4818939970263267,21,0.7173316708229427,40,2.7092682677596986
20,1,RGG,7.6905973990407155,0.711069692424173,0.9552631578947368,0.1573528119696514,3.5886915941921385,22,0.7485250737463129,41,2.2556414035578536
20,1,Physarum,11.44634776739622,1.14499143999474,0.8868421052631579,0.0540195576895061,2.8957852667120476,8,0.602086811352254,27,3.3571977057180784
20,2,MST,3.051319248576534,1.017222351141018,0.7947368421052632,0.02917586472331308,2.80767540722865,0,0.36884920634920615,19,1.0
20,2,kNN,7.517109514102001,0.6801834123021929,0.9921052631578947,0.21852515959590507,3.4317331819990975,16,0.5140776699029119,35,2.4635604804737476
20,2,RGG,5.876577249006287,0.6895525660932279,0.9763157894736842,0.16138332717262235,3.3293756226625213,12,0.622027972027972,31,1.9259136033529627
20,2,Physarum,10.784703563694029,1.4333624407669248,0.881578947368421,0.051335712487955154,2.92163752008608,7,0.5031343283582093,26,3.5344395932104398
30,0,MST,3.489057441356507,0.8183278712268424,0.8666666666666667,0.02283033580362059,3.2412194199993336,0,0.5435991820040895,29,1.0
30,0,kNN,8.870804790532983,0.7286221494282796,0.9471264367816092,0.05399801906680993,3.9574438089459627,29,0.6376748069296596,58,2.5424645307886107
30,0,RGG,19.798778153044424,0.5110552973304424,1.0,0.47143776957145406,4.58801377470503,77,0.6622326551904014,106,5.674534881072888
30,0,Physarum,9.29590769593643,1.2658163023683418,0.8999999999999999,0.028378290450702365,3.0815623206900944,5,0.5929382716049383,34,2.6643034264068417
30,1,MST,3.8038465945303597,0.9853376548068301,0.8275862068965517,0.016740950658465984,3.25301775985887,0,0.4346212617332459,29,1.0
30,1,kNN,8.88943221952874,0.6647203043543982,1.0,0.1696344659508948,3.8968354742713185,25,0.4596586501163691,54,2.3369586545133187
30,1,RGG,16.49698857708948,0.5898489560643992,1.0,0.4964817261437319,4.356377825973799,55,0.5520221370796083,84,4.336922682636804
30,1,Physarum,8.951383523908563,1.171819359772477,0.8850574712643678,0.02268121978907374,3.10715224596967,4,0.5129746392041474,33,2.353245143161127
30,2,MST,3.6054480613755575,0.7332809439758161,0.906896551724138,0.04385787924801106,3.2541164583497273,0,0.6191512513601742,29,1.0
30,2,kNN,9.002642083423124,0.9409942702341326,0.9586206896551723,0.04609229469248829,3.9589561208490593,28,0.6565251114989334,57,2.49695514404066
30,2,RGG,19.443822436358495,0.5869919858028521,1.0,0.2650937856493019,4.50070186844207,68,0.698934753661784,97,5.392900439935959
30,2,Physarum,6.282205735799683,1.3601907956692985,0.9034482758620689,0.035451373331004524,3.0621961344331843,2,0.6271696776478919,31,1.7424202564723352
