trial,mu,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
0,0.25,50,659.5034473985359,0.5517484107699897,1.0,42.598387184861025,6.96468845736031,1148,0.8544827586206898,1197,138.807328255426
0,0.5,50,161.63114614541269,1.0534219963378582,1.0,3.0000000000000924,5.3736841049802795,189,0.9330293819655524,238,34.01890869229873
0,0.75,50,8.414047686510814,1.3051777201418677,0.9069387755102041,0.012909377439902524,3.595736846762618,3,0.649154589371981,52,1.7709255103749852
0,1.0,50,10.409124112669454,1.6387165109519977,0.9016326530612245,0.011745900473218674,3.3038082906769457,2,0.6263191368540599,51,2.1908341999699252
0,1.25,50,5.888253801170529,0.9839021394989772,0.8759183673469387,0.009468198843775364,3.449345001318556,0,0.5605069470521968,49,1.2393153992664816
0,1.5,50,5.436991042828227,0.8858970938706582,0.8963265306122449,0.011376428045187351,3.6859558832534955,0,0.5997722589740804,49,1.1443370059407882
0,2.0,50,5.138872434933195,0.8810578930835657,0.903673469387755,0.01313632564282338,3.7410505230570497,0,0.5878036413920258,49,1.0815912422478657
0,3.0,50,5.016314104724682,0.8723911219484679,0.8942857142857144,0.011243991309605097,3.7649405966567575,0,0.6007224210868858,49,1.0557960861515705
1,0.25,50,610.6093609577972,0.5096413215879244,1.0,43.64255628497868,6.981236658832216,1157,0.868421052631579,1206,121.99157676925664
1,0.5,50,75.72867529194691,1.0127970497116303,1.0,2.0000000000001026,4.712975268898824,74,0.9538656987295828,123,15.129575627567492
1,0.75,50,13.723627483457134,1.507880668387642,0.9383673469387755,0.01967314941192247,3.699815724923498,0,0.7815398388540733,49,2.741797068218469
1,1.0,50,12.050726825208342,1.7089183144422848,0.9012244897959184,0.010442890255440315,3.402131266237562,3,0.5768433708602034,52,2.407573909965573
1,1.25,50,5.568403063324671,1.0275274117665032,0.8779591836734696,0.008838349690674166,3.6512464411389858,0,0.5186469153644659,49,1.112492394017991
1,1.5,50,5.363340839180806,0.9591864537383848,0.8951020408163265,0.010221543358690074,3.711400621599106,0,0.5572646755921726,49,1.0715237065745473
1,2.0,50,5.462403299654866,1.0998457309996967,0.8910204081632656,0.010432255445242332,3.666396535304633,0,0.5604886841578212,49,1.0913150601380053
1,3.0,50,5.18868306202812,0.9510417102549138,0.8938775510204082,0.011069878274087314,3.73360302811883,0,0.5590460627106526,49,1.0366294206493398
2,0.25,50,600.2793919815646,0.5008785337296744,1.0,45.18639349735257,6.973580972175509,1156,0.806,1205,122.68066387975115
2,0.5,50,67.3245735752836,1.0341055279540534,1.0,2.000000000000437,4.594674270964014,60,0.9650896057347669,109,13.759298573239377
2,0.75,50,15.663270753500635,1.4210881734673708,0.9591836734693877,0.031352151421563085,3.6570103849195457,2,0.8071508379888268,51,3.2011434679182895
2,1.0,50,11.110393300417666,1.5910693101415025,0.8897959183673468,0.009221268301019027,3.47774210143828,4,0.5088629402756506,53,2.2706600364222385
2,1.25,50,5.390708234843735,0.9707873491238982,0.8869387755102042,0.009357137489186287,3.665890777559432,0,0.5183441434566958,49,1.1017130920479465
2,1.5,50,5.3085239473632395,1.1287679740707328,0.8706122448979592,0.008338169794645923,3.678570461360179,0,0.4878253468380289,49,1.084916875014227
2,2.0,50,5.148428890350161,0.9678836729721895,0.8865306122448979,0.009352556923287791,3.712475207462391,0,0.515699762470309,49,1.0521978309481028
2,3.0,50,5.062755603011178,0.9617568148754593,0.8889795918367347,0.009473571635285774,3.7210208273796277,0,0.5223380145278453,49,1.0346885579197362
3,0.25,50,649.6616180870924,0.5387992933049615,1.0,46.000000000000504,6.9829659390504375,1160,0.8624999999999998,1209,131.5178153184234
3,0.5,50,114.43505911637462,0.973877558376392,1.0,2.0000000000000786,5.143214114216125,138,0.9159152215799613,187,23.16628926784253
3,0.75,50,10.669160111178606,1.4838852698681153,0.9024489795918366,0.010597953107828219,3.638853744283553,0,0.7188703302307788,49,2.159869984679577
3,1.0,50,10.770488987530282,1.3226160834749237,0.8926530612244897,0.010653896035422827,3.480947793077411,4,0.6162383126766688,53,2.1803830519063014
3,1.25,50,5.5754166677000105,1.2132011349595828,0.8767346938775509,0.009073924130554118,3.6665213197657325,0,0.5792081491447243,49,1.128690073741634
3,1.5,50,5.484884378877497,1.1955198710638189,0.8771428571428571,0.00907726358056919,3.6765189286286932,0,0.583784149049136,49,1.1103626729683327
3,2.0,50,5.439831772771021,1.196199051795149,0.8771428571428572,0.009077263580569794,3.6788164300020063,0,0.583784149049136,49,1.1012422013804133
3,3.0,50,4.9713927930572686,1.0734226969317988,0.8661224489795916,0.008038958458875211,3.772300837656712,0,0.5712565729827743,49,1.006411185499643
4,0.25,50,678.3895363516021,0.561918609581528,1.0,44.91386980234882,6.980749420613549,1159,0.8422222222222222,1208,137.63969126696136
4,0.5,50,105.74601185393321,0.9582369234990841,1.0,2.0000000000000524,5.019577156445163,126,0.9331138287864533,175,21.45500135890094
4,0.75,50,8.274227270884683,1.4914758503395846,0.8857142857142857,0.008638646393655317,3.722818104909895,1,0.6368332131451531,50,1.67877307359732
4,1.0,50,10.119180225954391,1.3296838232661174,0.9126530612244899,0.01447024163232346,3.4294801837923625,3,0.6049833559363826,52,2.053098946168339
4,1.25,50,5.9639293563818265,1.570507451150125,0.8816326530612245,0.011067197836427982,3.49982090687935,0,0.5252541426177617,49,1.210032512831849
4,1.5,50,5.6685037294751375,1.3470066127534541,0.896734693877551,0.011765838775050969,3.6313078344927203,0,0.5753908586074326,49,1.150093068160476
4,2.0,50,5.484857545398685,1.3526970865510441,0.8771428571428572,0.009116645103043282,3.6745704133203563,0,0.5613717317165594,49,1.1128327586713602
4,3.0,50,5.283455328321372,1.2368340521875896,0.8783673469387755,0.008937229067809117,3.7475714664040827,0,0.5525162488393689,49,1.0719698952373413
5,0.25,50,577.4721034631739,0.4846660486490295,1.0,44.585786437627036,6.974483520945147,1149,0.7874074074074076,1198,122.08256347456968
5,0.5,50,66.49333576019794,1.0192846049177369,1.0,2.0000000000000964,4.573765054582245,60,0.9652329749103941,109,14.057262393971058
5,0.75,50,14.869730931846435,1.5578552228602696,0.9599999999999999,0.035370361164477906,3.620068859733473,0,0.829673605756875,49,3.1435888581459084
5,1.0,50,10.308650770151312,1.2608525661587136,0.8975510204081634,0.011048047054789104,3.465838193334245,3,0.5951147505656722,52,2.1793373297805125
5,1.25,50,5.274652371594012,0.9767191645544858,0.8942857142857141,0.01096307196110221,3.6668899979039056,0,0.598707191780822,49,1.1151068235151216
5,1.5,50,5.274652371594012,0.9767191645544858,0.8942857142857141,0.010963071961100367,3.6668899979039056,0,0.598707191780822,49,1.1151068235151216
5,2.0,50,5.133415327025832,0.9694866865112377,0.9040816326530612,0.013531702905139388,3.6688293900357705,0,0.5892899140660333,49,1.0852480989896431
5,3.0,50,4.9098596775120775,0.8030281364481062,0.9081632653061223,0.012925442447963268,3.7223462742137876,0,0.6149709129763741,49,1.0379865142166533
6,0.25,50,629.9285506853992,0.5153180808274481,1.0,48.00000000000004,6.977311697649055,1171,0.8999999999999999,1220,130.86362577884464
6,0.5,50,113.4427373964013,0.8943066770216325,1.0,2.7149753388915663,5.1307491587750205,154,0.9340900195694717,203,23.56700282566586
6,0.75,50,8.946906404157714,1.3102391417160335,0.8836734693877552,0.008575301464346402,3.7773060800217046,4,0.665717924227953,53,1.8586625582823921
6,1.0,50,5.604752950125501,1.2988523753112502,0.8579591836734692,0.007103280856053539,3.696323806026067,0,0.5575956284153007,49,1.164351563125776
6,1.25,50,5.581650042544033,1.1001619086675754,0.9179591836734694,0.015041018712659183,3.6784972216311935,0,0.6016241998242751,49,1.1595520819007148
6,1.5,50,5.440824923917597,0.9325546694105441,0.9293877551020406,0.025888195414090584,3.7243758388495505,0,0.5970244390453048,49,1.1302965645819019
6,2.0,50,5.172637566055251,0.8569898063399178,0.9240816326530612,0.020708740819987203,3.7686541977356187,0,0.6183997815401421,49,1.0745823569948214
6,3.0,50,4.944977787014025,0.861204224599749,0.9118367346938776,0.0163879805970137,3.7800752447876036,0,0.576828803051979,49,1.0272874945903
7,0.25,50,610.6782509137165,0.5058826147618475,1.0,45.00000000000036,6.980250758708813,1161,0.8333333333333333,1210,118.80153972592954
7,0.5,50,70.63460423975422,1.084292261207949,1.0,2.0000000000004325,4.574050136769606,60,0.9588571428571431,109,13.741278208383614
7,0.75,50,12.081325241667674,1.5086983784383425,0.92,0.013632114629082934,3.663877035672991,0,0.7553788587464918,49,2.3503048266289905
7,1.0,50,7.350116452126576,1.3827701590888977,0.8779591836734693,0.00890408540957673,3.685365219689096,0,0.5814957594448729,49,1.4298939750531579
7,1.25,50,5.762236258085695,1.1175868161390563,0.8946938775510205,0.010746735722054123,3.6939119035698993,0,0.5905269841269842,49,1.1209872608053335
7,1.5,50,5.762236258085695,1.1175868161390563,0.8946938775510205,0.010746735722056179,3.6939119035698993,0,0.5905269841269842,49,1.1209872608053335
7,2.0,50,5.485779033023756,0.9903376920983525,0.8975510204081633,0.01087473805821306,3.735086799299713,0,0.5896876006441225,49,1.0672051849633095
7,3.0,50,5.3339750573832765,0.9892521050060552,0.8938775510204082,0.010777868757945048,3.7500153401366716,0,0.5689776490066223,49,1.0376731916171855
8,0.25,50,662.1461392985228,0.5478514184676179,1.0,45.000000000000206,6.981569064261722,1163,0.9061538461538461,1212,142.65910465066355
8,0.5,50,113.28854368246108,0.9796237197636756,1.0,2.000000000000037,5.073971870650864,132,0.9371264367816092,181,24.407968648792725
8,0.75,50,9.248989553625831,1.3877821994785389,0.876326530612245,0.0076357898982300785,3.7250187721510404,3,0.657577481963215,52,1.9926908734096502
8,1.0,50,7.098968014458577,1.7308344925227281,0.8706122448979592,0.00779602004356467,3.4973434354154342,0,0.5320588489831242,49,1.52946964541581
8,1.25,50,5.331020209475531,1.227990843036033,0.8689795918367347,0.007768743357479131,3.6407739412606768,0,0.5258124197002145,49,1.1485660412731016
8,1.5,50,5.331020209475531,1.227990843036033,0.8689795918367347,0.007768743357475461,3.6407739412606768,0,0.5258124197002145,49,1.1485660412731016
8,2.0,50,5.262525639351969,1.2272183276765554,0.8620408163265306,0.007294021164043748,3.679031028899712,0,0.5229630861323578,49,1.1338089152138737
8,3.0,50,4.951652329172673,1.1118568659557992,0.8755102040816327,0.008710922514305058,3.7299265938581563,0,0.5577838928636953,49,1.066831392492153
9,0.25,50,580.8339382061619,0.482018782549909,1.0,45.000000000000185,6.9715370145496,1154,0.8072727272727276,1203,119.04142512309183
9,0.5,50,77.79032497117214,1.0715638688312734,1.0,2.0000000000002203,4.7287303069765825,75,0.9531880108991826,124,15.94306140918012
9,0.75,50,15.467753869043285,1.6670749648871617,0.9538775510204082,0.024886889103816798,3.5747842396186917,0,0.7892368944923684,49,3.170103092995533
9,1.0,50,10.296616927600533,1.6157056641099956,0.9167346938775512,0.0168359210814086,3.433832088354206,2,0.610771979073625,51,2.1102829438541844
9,1.25,50,5.498300755536046,0.9278017728671127,0.9024489795918368,0.013764330743627757,3.6259565232169164,0,0.5738847338319402,49,1.1268720965510548
9,1.5,50,5.364911409693859,0.9086302759422421,0.9020408163265305,0.013762671993529709,3.6613700192747367,0,0.5703294297909598,49,1.0995340627675418
9,2.0,50,5.25851489822738,0.9060552687725807,0.9057142857142857,0.012872110115429023,3.687950030483105,0,0.5985125115848009,49,1.0777281875939748
9,3.0,50,5.25851489822738,0.9060552687725807,0.9057142857142857,0.01287211011542875,3.687950030483105,0,0.5985125115848009,49,1.0777281875939748
10,0.25,50,563.7382652278114,0.46500431476680476,1.0,45.8299135133756,6.972381033253941,1160,0.7824999999999998,1209,121.22692705525638
10,0.5,50,101.99230817267815,0.9785512719087957,1.0,2.0000000000000355,5.069439224567688,130,0.9366730401529635,179,21.93254363893499
10,0.75,50,13.364373631953935,1.3972542247543622,0.950204081632653,0.02917894316056667,3.5869027213412696,4,0.7716344755970923,53,2.8738903270392093
10,1.0,50,9.059759895783623,1.1289352543526494,0.9069387755102041,0.012363326892388317,3.3971207459232233,2,0.6474745972738536,51,1.9482212220958095
10,1.25,50,5.250754617794902,0.8673831476390483,0.9004081632653061,0.011942831071602756,3.640535955120258,0,0.6199999999999997,49,1.12912833188509
10,1.5,50,5.070109203845021,0.7623927896747722,0.9118367346938774,0.014516557511298477,3.6928237338127716,0,0.6424735860783095,49,1.0902821336215764
10,2.0,50,4.842884738966827,0.909677255713241,0.8832653061224491,0.009618486923326093,3.729157698847099,0,0.6030459770114946,49,1.0414195224986167
10,3.0,50,4.842884738966827,0.909677255713241,0.8832653061224491,0.009618486923324213,3.729157698847099,0,0.6030459770114946,49,1.0414195224986167
11,0.25,50,648.29693343743,0.5357363178798742,1.0,45.6072437528057,6.983790074794391,1162,0.8342857142857143,1211,137.07953396680375
