mu,iteration,n_mean,n_std,n_surviving_edges_mean,n_surviving_edges_std,conductivity_entropy_mean,conductivity_entropy_std
0.5,10,50.0,0.0,1225.0,0.0,7.090795210561293,0.0007659677154006436
0.5,25,50.0,0.0,1188.6666666666667,9.824653150305569,7.01865193500674,0.010773788146702434
0.5,50,50.0,0.0,195.06666666666666,42.588507280497076,5.124287285390014,0.22898785900268503
0.5,100,50.0,0.0,175.26666666666668,37.97831461442676,5.017796200024718,0.21701531040898678
0.5,150,50.0,0.0,176.0,37.707521038343835,5.021861546339535,0.21527433207523017
0.5,200,50.0,0.0,176.06666666666666,37.740593277694785,5.022178905625343,0.2154465480988559
0.5,300,50.0,0.0,176.06666666666666,37.740593277694785,5.022178779355542,0.21544684515931237
0.5,500,50.0,0.0,176.06666666666666,37.740593277694785,5.0221787786078504,0.2154468469295435
1.0,10,50.0,0.0,1225.0,0.0,7.092098663133302,0.0005668994952358565
1.0,25,50.0,0.0,803.6666666666666,15.159469773363563,6.674775120031185,0.020191845119887256
1.0,50,50.0,0.0,8.466666666666667,2.1995670569671746,1.9600591180036409,0.2502930122108901
1.0,100,50.0,0.0,9.133333333333333,2.099886618254379,2.053600689972561,0.25299769148373696
1.0,150,50.0,0.0,9.266666666666667,1.6676187756655838,2.0804526408729003,0.22458914249879042
1.0,200,50.0,0.0,9.133333333333333,1.7265434778633235,2.068721617622407,0.2251961576416589
1.0,300,50.0,0.0,9.866666666666667,2.099886618254378,2.1365942409007586,0.2411512189534218
1.0,500,50.0,0.0,11.466666666666667,1.6846647257229663,2.29059143897669,0.1743999072515441
2.0,10,50.0,0.0,1225.0,0.0,7.092273930459074,0.0004823693141274363
2.0,25,50.0,0.0,755.0666666666667,16.416310124240407,6.620840447919486,0.021926761326492714
2.0,50,50.0,0.0,0.9333333333333333,0.7988086367179803,0.173774311953153,0.2988505737346432
2.0,100,50.0,0.0,4.0,0.7559289460184544,1.1949988106934404,0.14184274699251875
2.0,150,50.0,0.0,6.6,1.1832159566199232,1.8719286700853106,0.17961935977870433
2.0,200,50.0,0.0,6.6,1.1832159566199232,1.8720673247470347,0.17962644019411494
2.0,300,50.0,0.0,6.6,1.1832159566199232,1.8720673346791252,0.17962644082038345
2.0,500,50.0,0.0,6.6,1.1832159566199232,1.8720673346791254,0.17962644082038348
