demand,n,cost_mean,cost_std,efficiency_mean,efficiency_std,robustness_mean,robustness_std,algebraic_connectivity_mean,algebraic_connectivity_std,network_entropy_mean,network_entropy_std,cyclomatic_number_mean,cyclomatic_number_std,betweenness_gini_mean,betweenness_gini_std,num_edges_mean,num_edges_std,steiner_ratio_mean,steiner_ratio_std
Fixed,20,8.328623795253709,1.8684146728670221,1.0464383086558233,0.11497616063689964,0.8914035087719298,0.026187831679977423,0.06548275559339524,0.021640917978989545,2.817462644773744,0.11421506913742474,4.966666666666667,2.173243775039314,0.5515745062894468,0.058294694884562605,23.966666666666665,2.1732437750393148,2.7071689126314076,0.628603654905044
Fixed,50,10.984112254689434,1.5962300106775267,1.369312325500271,0.16398864733092214,0.9109387755102041,0.013757981393306029,0.01474753188006083,0.004941697919295048,3.4146299616225355,0.04949714403852627,3.9,2.186951901777827,0.5914878137554496,0.029792738167550913,52.9,2.186951901777827,2.293294050420211,0.37599283799634914
Fixed,100,8.110257885865707,0.8356905522929482,1.3372137631980474,0.21509686936355432,0.895074074074074,0.017503478279630863,0.0029253029443610115,0.0008317954567935791,4.339564675692909,0.09976647963534455,0.03333333333333333,0.18257418583505536,0.6019786179693463,0.027886492691257307,99.03333333333333,0.1825741858350556,1.2049389573375455,0.11407292027629859
HubSpoke,20,5.491907159281286,0.6526769690680597,0.6389484860551022,0.058791622184482695,0.982719298245614,0.013070185588939503,0.22368899401550146,0.058878182286588275,3.113681905235698,0.09485496121040926,7.3,1.7840287611722114,0.49789615731760156,0.05564006993659083,26.3,1.7840287611722112,1.7776071407291916,0.1654215895814064
HubSpoke,50,6.1142711054245344,0.45119550259125346,0.828591861511015,0.07308709545492993,0.9408707482993197,0.01603602678712407,0.025921877579274635,0.009280927711389454,3.7724964235547866,0.048429749683179556,3.0,1.5974116995724787,0.5697747106761603,0.030740299535330477,52.0,1.5974116995724785,1.2725563770537343,0.0863881637746419
HubSpoke,100,7.421060333473744,0.2537806117793384,0.9946909101356611,0.09163323839754879,0.9295185185185185,0.010347622861196096,0.0058250824823306005,0.0022259785838123066,4.431078440301132,0.02391699584276762,0.03333333333333333,0.18257418583505536,0.6100564431253764,0.021494948008447,99.03333333333333,0.18257418583505683,1.1032001464626016,0.03024990409116837
Uniform,20,6.819064404209113,0.8581902753366595,0.602517798271359,0.049011360135765805,0.998859649122807,0.0016475324094192337,0.3434484446960236,0.07050832693344433,3.2910909249152294,0.0848098050657595,12.2,2.0744754218505626,0.42113761296858865,0.0368757803091221,31.2,2.0744754218505626,2.2062559110498503,0.21126873942552182
Uniform,50,8.32642414086217,0.6148456153538212,0.6525291841972976,0.03105974255285516,0.996108843537415,0.0019106507273987394,0.08327188558465312,0.016582849887982108,4.040873445225648,0.04971743405711056,17.633333333333333,2.48420296429581,0.4020479842812788,0.020708736870125595,66.63333333333334,2.4842029642958123,1.732085859909414,0.1042608155624855
Uniform,100,8.454697325174555,0.3664404284446378,0.9139502992536042,0.11740921301274868,0.9691885521885522,0.01826006775934901,0.008835477505499416,0.004140072143733413,4.506147614182493,0.03534554127299999,7.4,2.429701272967948,0.5466017742354065,0.04317033847678686,106.4,2.4297012729679492,1.2570788066490726,0.05342140984047479
