trial,mu,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
0,0.5,20,64.76577037760377,0.7079216595051389,1.0,4.715922599251481,4.585312779830608,90,0.7560606060606057,109,19.72819530209808
0,1.0,20,8.398001397751484,1.5796488686177403,0.9184210526315788,0.08998904393212728,2.734103311383434,2,0.6841201716738197,21,2.5581014594003153
0,2.0,20,3.5734564133814035,0.8396041396016372,0.8657894736842104,0.04792573883752618,2.737326885691677,0,0.5724312590448624,19,1.0885047088253528
1,0.5,20,69.04813053490538,0.6066903655888253,1.0,5.9726560953014785,4.763299523920063,111,0.7007692307692308,130,22.407220065760185
1,1.0,20,8.565136592560082,1.268202728691206,0.8842105263157893,0.049899195325844,2.8475671619701077,4,0.617269736842105,23,2.779523486530439
1,2.0,20,3.210648168413086,0.9009310806461363,0.8368421052631578,0.036624250068889794,2.8410796348210705,0,0.5150676506765066,19,1.0419065585996385
2,0.5,20,51.520463425412885,0.5748651665917872,1.0,4.490073205783772,4.586730818453785,90,0.6546511627906975,109,16.851442267719346
2,1.0,20,8.837465252193418,0.9089948254907119,0.9342105263157894,0.10166765313477097,2.9902970446148127,6,0.6186440677966103,25,2.8905802779882444
2,2.0,20,3.565116221186937,0.8301608066891113,0.8710526315789474,0.05550929847042167,2.7447081965833426,0,0.5494143484626646,19,1.1660871464406855
