trial,alpha,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
0,0.0,50,10.409124112669454,1.6387165109519977,0.9016326530612245,0.011745900473215687,3.3038082906769457,2,0.6263191368540599,51,2.1908341999699252
0,0.25,50,17.277371331273226,0.8221127166888201,0.9881632653061224,0.0627305642111984,4.503186153370441,55,0.5396101522842638,104,3.6364112473269437
0,0.5,50,27.824089356024846,0.6165806754624096,0.9971428571428572,0.13975562548364495,4.949978033186287,110,0.5356313545424725,159,5.856205179646525
0,0.75,50,41.53818438477864,0.5900017802446522,0.9979591836734695,0.185154085526593,5.257426747814803,164,0.553565794935658,213,8.742644815241006
0,1.0,50,52.874280696152056,0.5731825484644112,1.0,0.7966260914509656,5.4546425055349745,208,0.5948316934230968,257,11.128581155733025
0,1.25,50,66.09878009421323,0.5657272293130069,1.0,1.16338892355355,5.605548320470891,249,0.5715876777251185,298,13.911974383169907
0,1.5,50,73.88274435496137,0.5654584114759726,1.0,1.293431061290707,5.678186563391411,271,0.560184842883549,320,15.550284670299076
0,2.0,50,88.35849531547821,0.5631437790520305,1.0,1.7208484878379993,5.796935911280933,311,0.5788025659301501,360,18.597031921198617
1,0.0,50,12.050726825208342,1.7089183144422848,0.9012244897959184,0.01044289025545331,3.402131266237562,3,0.5768433708602034,52,2.407573909965573
1,0.25,50,15.54888617568969,0.6644094736392676,0.9942857142857143,0.10518072264534678,4.464122472850796,51,0.5431212814645308,100,3.1064593222133445
1,0.5,50,27.06291850976801,0.5836966359832733,0.9983673469387756,0.26441836238084654,4.981818195524496,113,0.526612355736592,162,5.406808856984888
1,0.75,50,36.595254177842385,0.5474426737675563,1.0,0.5072389640882022,5.23106054811183,156,0.5838967527060781,205,7.311241924663637
1,1.0,50,47.53162657685414,0.5295936443042747,1.0,0.871175727280325,5.414467227585844,195,0.5538220918866081,244,9.49618273690158
1,1.25,50,59.30618296409861,0.525723112240339,1.0,1.1907578655142965,5.564840107710855,235,0.5720045300113252,284,11.848581490149247
1,1.5,50,68.87972553967282,0.5221934634971268,1.0,1.514144925357639,5.670065711290352,266,0.5417687934301956,315,13.761247146355306
1,2.0,50,88.331526054174,0.517610534580321,1.0,2.3430425451439665,5.834901699776518,322,0.5580332829046897,371,17.647456509478786
2,0.0,50,11.110393300417666,1.5910693101415025,0.8897959183673468,0.009221268301038662,3.47774210143828,4,0.5088629402756506,53,2.2706600364222385
2,0.25,50,15.29141171069071,0.809589736284548,0.970204081632653,0.02372147214303613,4.4630157007348865,51,0.5584024930293585,100,3.125145666142993
2,0.5,50,23.414540173855144,0.6428595342747422,0.990204081632653,0.059812259497884934,4.882217124450532,99,0.6196600877192981,148,4.7852906019067065
2,0.75,50,36.98247336026726,0.5506532767807005,1.0,0.4289625984734989,5.253812761116694,161,0.5792976725193957,210,7.558204470048069
2,1.0,50,46.45650617099446,0.5283490797977153,1.0,0.7168025271602803,5.421509899051941,198,0.5042075736325382,247,9.494437248257874
2,1.25,50,57.62926115447818,0.5160582425219045,1.0,0.9736496276308809,5.580688034429,239,0.5502894593118515,288,11.777842304384933
2,1.5,50,64.64210211366955,0.5144853350683438,1.0,1.1469541003034502,5.653976695301373,260,0.5485202863961813,309,13.211074889159608
2,2.0,50,81.39811690658443,0.5091232035889214,1.0,1.7719090322327489,5.810942839695178,313,0.5692950034223132,362,16.635545304490574
3,0.0,50,10.770488987530282,1.3226160834749237,0.8926530612244897,0.010653896035414018,3.480947793077411,4,0.6162383126766688,53,2.1803830519063014
3,0.25,50,16.265626826683818,0.7222437026226171,0.9918367346938776,0.061386534030963814,4.4659499173046795,51,0.5880407747196736,100,3.292821440381623
3,0.5,50,26.74692041975038,0.6058748081707283,0.999591836734694,0.3203787452158559,4.928796503122674,106,0.48467583497053046,155,5.414659635363779
3,0.75,50,42.952274882689046,0.5728893149290494,1.0,0.6528223361965311,5.308622777111427,173,0.5629472735466425,222,8.695279508986417
3,1.0,50,52.95848451251116,0.5635851570866311,1.0,0.9369061748843094,5.469294419479712,210,0.6059396506087877,259,10.720941474375845
3,1.25,50,64.00392509962896,0.5581414986493562,1.0,1.1634669171837386,5.604038222014234,246,0.640137299771167,295,12.956985862413609
3,1.5,50,72.65596310142156,0.5537642668090758,1.0,1.4373016567013488,5.688490892948945,272,0.6407677784770296,321,14.708508661926134
3,2.0,50,87.3883190577858,0.5503053566131173,1.0,2.014114989285369,5.80855136655433,313,0.6412438853948288,362,17.690933998333556
4,0.0,50,10.119180225954391,1.3296838232661174,0.9126530612244899,0.014470241632297551,3.4294801837923625,3,0.6049833559363826,52,2.053098946168339
4,0.25,50,19.12854765432377,0.7234885513005395,0.9975510204081632,0.12763657778476487,4.67165098356395,71,0.5038935507072644,120,3.8810259481388942
4,0.5,50,31.380509067226004,0.6778913296153873,1.0,0.34477724627403217,5.1093994571708174,133,0.593569755771161,182,6.366848762205069
4,0.75,50,43.00473933875362,0.6643380312849798,1.0,0.5143720978380438,5.324265851429319,176,0.6179611650485437,225,8.725310059225853
4,1.0,50,52.40445281749746,0.6274006362629497,1.0,0.7888163316932567,5.4589309990363,208,0.6844465468306526,257,10.632435083839509
4,1.25,50,63.602893285539174,0.599656336228765,1.0,1.1906320180999177,5.582850025087994,242,0.669018567639257,291,12.904507110454382
4,1.5,50,74.02533549301737,0.5902354322069753,1.0,1.6533084896899077,5.677278888499341,271,0.662410225197809,320,15.019135433585737
4,2.0,50,91.73920032904743,0.5774536525803823,1.0,2.3320019252300206,5.806981899026104,316,0.6812560386473432,365,18.61313380255852
5,0.0,50,10.308650770151312,1.2608525661587136,0.8975510204081634,0.011048047054810977,3.465838193334245,3,0.5951147505656722,52,2.1793373297805125
5,0.25,50,13.48521018010305,0.6637697332644141,0.983265306122449,0.04703051729785677,4.4503480384998095,49,0.5652885796152272,98,2.8508892774338683
5,0.5,50,21.471780592962283,0.5752366836292391,0.9979591836734695,0.19178888881060943,4.830136194216815,91,0.48413242684008306,140,4.539318871737527
5,0.75,50,35.550019323936105,0.5323598156815287,1.0,0.4870486622428056,5.226768134539933,155,0.5426348291477974,204,7.515579479266357
5,1.0,50,46.25922493786799,0.5133425959349142,1.0,0.7940276435316546,5.409060375230016,195,0.5396118389131488,244,9.779597544008134
5,1.25,50,58.575116891983775,0.5047246184899119,1.0,1.2490982537684754,5.585184226309949,240,0.5699321266968325,289,12.383282903382668
5,1.5,50,65.21242042759461,0.49834579519288236,1.0,1.5336285372581815,5.664399323921339,263,0.5744976076555022,312,13.786465888892666
5,2.0,50,83.1198220235169,0.49237856108828065,1.0,2.4148052759616414,5.831176507684744,319,0.5663073561544065,368,17.57224442068318
6,0.0,50,5.604752950125501,1.2988523753112502,0.8579591836734692,0.007103280856051025,3.696323806026067,0,0.5575956284153007,49,1.164351563125776
6,0.25,50,17.3217184869285,0.6550953305668316,0.9910204081632653,0.07412690432281675,4.643818990966361,64,0.5260389450332756,113,3.5984761818677904
6,0.5,50,29.115119866467904,0.5487903775116014,0.999591836734694,0.38923519936978007,5.08813106390497,128,0.4793900709219856,177,6.048479857860129
6,0.75,50,41.30583450552666,0.5336012024687233,1.0,0.7032680069918551,5.349203575780941,179,0.5147454545454546,228,8.581022821290928
6,1.0,50,55.73673090426856,0.5280966308673875,1.0,1.0695905124515865,5.556834746022972,231,0.5284632516703789,280,11.578949211392567
6,1.25,50,65.61653411044216,0.5242002444147299,1.0,1.2876491019633602,5.668850242530388,263,0.5664543784445804,312,13.631415111111785
6,1.5,50,75.12949967091102,0.5225549442003875,1.0,1.5597155106948164,5.763036608679808,294,0.5557472021066492,343,15.607672837162951
6,2.0,50,93.25896866642123,0.5209455363941728,1.0,2.213012706767315,5.900786861161981,346,0.5664018334606569,395,19.37395401876078
7,0.0,50,7.350116452126576,1.3827701590888977,0.8779591836734693,0.00890408540957119,3.685365219689096,0,0.5814957594448729,49,1.4298939750531579
7,0.25,50,16.060061166962925,0.6950523771768348,0.9832653061224491,0.05465927900901787,4.5118377421796225,54,0.5069937629937633,103,3.124329369636225
7,0.5,50,25.033095008829775,0.5915599672683607,0.9959183673469388,0.1474131106755078,4.933502387953474,105,0.5118631178707223,154,4.869946206049927
7,0.75,50,36.98680024812534,0.5414636994842912,0.9987755102040816,0.30693575401300194,5.237412164846157,157,0.47470710427918617,206,7.1954237971273844
7,1.0,50,46.42259828593864,0.5362287104236227,0.9987755102040816,0.3429690306849517,5.405253653013393,193,0.47993239980685676,242,9.03106692631672
7,1.25,50,56.14639211657423,0.5330559679609733,0.9987755102040816,0.3485945857109784,5.530301208096816,225,0.49332971211298227,274,10.922736847962943
7,1.5,50,66.97248910288087,0.5195120240686589,1.0,1.080226976184704,5.646809758342836,258,0.49831340465701746,307,13.028849173514221
7,2.0,50,84.57047111851706,0.5145476503698216,1.0,1.7232892260242056,5.807072645017653,312,0.48444444444444446,361,16.452366150578122
8,0.0,50,7.098968014458577,1.7308344925227281,0.8706122448979592,0.007796020043553625,3.4973434354154342,0,0.5320588489831242,49,1.52946964541581
8,0.25,50,19.877105763936648,0.6798623993389745,0.9987755102040816,0.1741301794799805,4.6963130748334905,75,0.46257028112449783,124,4.282513999604123
8,0.5,50,29.990906677336888,0.6184353565904833,0.9991836734693877,0.3479753182627492,5.062043586237406,126,0.5191334730957371,175,6.461528113390651
8,0.75,50,41.917772536452496,0.6019097055807695,0.999591836734694,0.5919686330594158,5.326607752144569,177,0.5385054575986565,226,9.031166300139791
8,1.0,50,51.385699112606986,0.583396748239821,1.0,0.8619239371835407,5.469746478275572,211,0.5988951310861423,260,11.071027062121033
8,1.25,50,62.5808617073097,0.5799991962593466,1.0,1.0651573128641638,5.603268010949195,248,0.644033970276009,297,13.483020091138535
8,1.5,50,73.82667774179538,0.568312034728196,1.0,1.429973533109863,5.7050291693625095,280,0.6552747946936197,329,15.905926382256407
8,2.0,50,89.67406165725714,0.5661965364404903,1.0,1.9039726839338176,5.825952481827516,323,0.6890359712230216,372,19.32023852010284
9,0.0,50,10.296616927600533,1.6157056641099956,0.9167346938775512,0.016835921081440042,3.433832088354206,2,0.610771979073625,51,2.1102829438541844
9,0.25,50,13.788054964701638,0.7732667521071946,0.9881632653061224,0.058662898352774474,4.377940038833158,44,0.5395551894563428,93,2.825850221050654
9,0.5,50,23.56151035736366,0.6090208413961301,0.9983673469387756,0.16136442485006605,4.9055616238723605,102,0.5727113190991517,151,4.8289116501273055
9,0.75,50,34.42163050787234,0.5196102042303796,0.999591836734694,0.37672648259393454,5.209246631691174,153,0.5831673469387755,202,7.054684103639983
9,1.0,50,42.52303505932613,0.5033619141666688,1.0,0.5872105014450987,5.374918936627177,187,0.5558693563880885,236,8.715060124852187
9,1.25,50,52.30029154871659,0.5003706543856443,1.0,0.7303872592237188,5.522591370907994,224,0.5616059957173449,273,10.718900585493317
9,1.5,50,64.01836370246794,0.495177063815499,1.0,1.1939591050070213,5.661704765333903,264,0.5229464822609742,313,13.120509577533067
9,2.0,50,83.70373574928654,0.4912541705428946,1.0,2.0175710463101804,5.843204897645539,326,0.5718529411764706,375,17.155009954299622
10,0.0,50,9.059759895783623,1.1289352543526494,0.9069387755102041,0.01236332689238825,3.3971207459232233,2,0.6474745972738536,51,1.9482212220958095
10,0.25,50,13.386532716483073,0.6210372653350911,0.9881632653061225,0.0485372419739936,4.407595305482248,47,0.5703619197482299,96,2.8786554421458437
10,0.5,50,22.036528033299525,0.5382497235023079,0.9963265306122449,0.12496224327793105,4.908697211919655,103,0.6330982061416845,152,4.738760416350964
10,0.75,50,30.817483431990468,0.49431853144163057,0.9983673469387756,0.32771376383924944,5.166517370761122,145,0.5070783847981,194,6.627027197677929
10,1.0,50,41.13614619139196,0.4831828132473724,1.0,0.8385255191025581,5.39203145494579,192,0.5261113801452784,241,8.845964344221025
10,1.25,50,51.87826012954069,0.4773030072365241,1.0,1.1811244270413057,5.552478807050501,233,0.5337857543466069,282,11.15596092086456
10,1.5,50,63.39895096732333,0.4752382776593417,1.0,1.577038847388345,5.687310663052893,272,0.5471581600504094,321,13.633383572409512
10,2.0,50,80.78847622996219,0.47159755559932337,1.0,1.7047340261642405,5.852095685219549,330,0.5466422823701536,379,17.37284715075569
11,0.0,50,7.123909199450254,1.442342837615204,0.8951020408163265,0.013299552841848106,3.629414670465552,0,0.5561302798982188,49,1.506319253902066
11,0.25,50,17.24328470317373,0.8683094003431832,0.9783673469387756,0.02675236415457891,4.484001045666137,55,0.5518320610687024,104,3.646016677319518
11,0.5,50,28.107373906407375,0.5986363591591846,1.0,0.26904791557006824,4.9593272001234165,113,0.5459322033898306,162,5.943180535640908
11,0.75,50,42.047696270589654,0.567475869958595,1.0,0.563969080803126,5.288323514102839,171,0.615551709216789,220,8.890800359934818
11,1.0,50,52.45712512279575,0.5587257273683275,1.0,0.9975038927970052,5.446482924319069,207,0.6321818181818182,256,11.091828287608537
11,1.25,50,62.68415722794853,0.553490724660081,1.0,1.3860650928317286,5.577017474808652,241,0.612147380541163,290,13.254289225692226
11,1.5,50,69.64012726569595,0.5489652934279482,1.0,1.5702281115648424,5.649962526751304,262,0.615275,311,14.72509848281097
11,2.0,50,85.53826230408349,0.5458715667774582,1.0,2.2408363052642146,5.7841634805754225,306,0.6101582733812947,355,18.086689182381683
12,0.0,50,8.714336253227396,1.4788519684270756,0.9228571428571426,0.01916293818188891,3.4063452372212133,1,0.5198441292960267,50,1.7917587416813734
12,0.25,50,18.99472785562226,0.7315768771033058,0.993061224489796,0.06596835579887439,4.660812196433842,69,0.4850514723485755,118,3.9055148541651956
12,0.5,50,30.356499502725875,0.6223900608575961,0.999591836734694,0.24498168642085263,5.05702217541608,125,0.5187981938172976,174,6.241614022033082
12,0.75,50,43.02210930207203,0.5878516221010823,0.999591836734694,0.5970480011332393,5.3128266437883,174,0.5571272727272725,223,8.845795960536892
12,1.0,50,51.83291593477779,0.5778154597252164,0.999591836734694,0.8380014182871873,5.436910088480559,203,0.5738571428571428,252,10.657390021939793
12,1.25,50,62.74412587673712,0.5715189516655693,0.999591836734694,0.9106486289218753,5.561992546203384,236,0.565226480836237,285,12.900848987456051
12,1.5,50,73.49780371368415,0.5651285451792082,1.0,1.5156769535987678,5.664089929093521,266,0.5630349206349203,315,15.111917703382531
12,2.0,50,90.65994816612728,0.5591438457670188,1.0,2.1823873817334474,5.8021624404825705,312,0.6104639543183439,361,18.640634229242423
13,0.0,50,10.272582553593415,1.5159204633702652,0.9085714285714285,0.013238615934424552,3.44784049912451,2,0.5743690637720484,51,2.082731093372655
13,0.25,50,17.844052218553667,0.7333410418445434,0.9955102040816327,0.08161158751529576,4.5854806531823105,65,0.5674182851729042,114,3.6178207567041354
13,0.5,50,29.54879281161508,0.6001499586162811,1.0,0.4479416640532396,5.0388865093007364,124,0.5539712918660287,173,5.990917010333421
13,0.75,50,40.63825029119481,0.5698163433385227,1.0,0.6742396882117165,5.276961165669643,168,0.6043448275862067,217,8.239266710212483
13,1.0,50,51.839787851200306,0.5592980491800265,1.0,0.9748603163509714,5.458402962225589,209,0.6111799252536041,258,10.51034026431541
13,1.25,50,62.941951709870054,0.5463621018293312,1.0,1.403885479422729,5.586540587694,244,0.6339618138424818,293,12.761266139238762
13,1.5,50,72.79750580546761,0.5438618437654427,1.0,1.7136289989010598,5.682025641149866,273,0.6255619047619052,322,14.759446134408229
13,2.0,50,89.07037420884929,0.5388551685647066,1.0,2.2071724442785983,5.81824884222538,319,0.6482905982905982,368,18.05871472877244
14,0.0,50,8.644330690932142,1.5658478039071106,0.9293877551020409,0.022041072269477675,3.5200433085905627,0,0.6650269622528462,49,1.7829058256863581
14,0.25,50,15.938555594302102,0.7122066708121507,0.9951020408163267,0.0773854090153551,4.557004821526568,60,0.4849405548216643,109,3.287350361540002
